code,country,currency,flag_image_url,symbol
RUB,Russia,Ruble,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/russia.png,₽
SHP,Saint Helena,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/sainthelena.png,£
SAR,Saudi Arabia,Riyal,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/saudiarabia.png,﷼
RSD,Serbia,Dinar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/serbia.png,Дин.
SCR,Seychelles,Rupee,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/seychelles.png,₨
SGD,Singapore,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/singapore.png,$
SBD,Solomon Islands,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/solomonislands.png,$
SOS,Somalia,Shilling,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/somalia.png,S
ZAR,South Africa,Rand,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/southafrica.png,R
LKR,Sri Lanka,Rupee,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/srilanka.png,₨
SEK,Sweden,Krona,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/sweden.png,kr
CHF,Switzerland,Franc,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/switzerland.png,CHF
SRD,Suriname,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/suriname.png,$
SYP,Syria,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/syria.png,£
TWD,Taiwan,New Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/taiwan.png,NT$
THB,Thailand,Baht,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/thailand.png,฿
TTD,Trinidad and Tobago,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/trinidadandtobago.png,TT$
TRL,Turkey,Lira,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/turkey.png,₺
TVD,Tuvalu,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/tuvalu.png,$
UAH,Ukraine,Hryvna,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/ukraine.png,₴
GBP,United Kingdom,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/unitedkingdom.png,£
USD,United States,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/unitedstates.png,$
UYU,Uruguay,Peso,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/uruguay.png,$U
UZS,Uzbekistan,Som,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/uzbekistan.png,лв
VEF,Venezuela,Bolivar Fuerte,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/venezuela.png,Bs
VND,Viet Nam,Dong,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/vietnam.png,₫
YER,Yemen,Rial,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/yemen.png,﷼
ZWD,Zimbabwe,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/zimbabwe.png,Z$
